researchStatement	researchStatementLabel	assertType	objectURI	valueURI	label	homepage	source	dateAnnotated	whoAnnotated	evidence	evidenceVal	evidenceRole	object	precip	numericVal	contVal	evidenceSource	evidenceType	evidenceStatement	objectDose	precipDose	numOfSubjects
https://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/Assertions/30	diltiazem_increases_auc_triazolam	increase_auc	http://purl.obolibrary.org/obo/CHEBI_101278	http://purl.obolibrary.org/obo/CHEBI_9674	diltiazem increases the AUC of triazolam 	http://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/diltiazem_increases_auc_triazolam.html	DIKB	"07/02/2007 17:38:07
"	boycer	https://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/Evidence/39	2.835	support	TRIAZOLAM	DILTIAZEM	2.835	high	http://www.ncbi.nlm.nih.gov/pubmed/8612379	http://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/DIKB_evidence_ontology_v1.3.owl#EV_PK_DDI_RCT	"
Route of administration: oral

study duration: 1 day pretreatment with diltiazem given 3x/day @ 60mg PO. On day two .25mg triazolam was given PO

population: 10 subjects, male: 3 female: 7

ages: 18-31

AUC_i/AUC 0-time of measurement (17hrs): 36.0/12.7 = 2.835

AUC_i/AUC 0 -inf: 47/13.9 = 3.381

"	0.00025	0.06	10
https://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/Assertions/33	ketoconazole_increases_auc_simvastatin	increase_auc	http://purl.obolibrary.org/obo/CHEBI_48339	http://purl.obolibrary.org/obo/CHEBI_9150	ketoconazole increases the AUC of simvastatin 	http://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/ketoconazole_increases_auc_simvastatin.html	DIKB	"10/30/2007 11:25:31
"	boycer	https://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/Evidence/42	12.55	support	SIMVASTATIN	KETOCONAZOLE	12.55	high	http://www.ncbi.nlm.nih.gov/pubmed/16580903	http://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/DIKB_evidence_ontology_v1.3.owl#EV_PK_DDI_NR	"
Route of administration: oral

study duration: 40mg of simvastatin to establish baseline given two seperate times with a one day gap; after a &gt;1 week washout period participants were given 10 days treatment ketoconazole 40mg 1x/day. 40mg of simvastatin was given during this phase once on day 6 and once on day nine. 

population: 19 (20 - 1 dropout) 9 male, 10 women

ages:30-47

AUC_i/AUC (0 to infinity):12.55

description:
This study used an open-label, fixed-sequential, 3-way crossover study design. Nineteen subjects received oral doses of 0.075 mg/kg midazolam and 40 mg simvastatin during 3 phases (baseline, after inhibition with 400 mg ketoconazole for 10 days, and after induction with 600 mg rifampin [INN, rifampicin] for 9 days). Serial plasma concentrations of midazolam and simvastatin were obtained. Oral clearances of midazolam and simvastatin were compared. RESULTS: Oral midazolam clearance decreased after pretreatment with ketoconazole (from a geometric mean of 25 mL x min(-1) x kg(-1) [range, 12-57 mL x min(-1) x kg(-1)] to 2.7 mL x min(-1) x kg(-1) [range, 1.2-8.5 mL x min(-1) x kg(-1)], P &lt; .001)"	0.04	0.4	19
https://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/Assertions/45	clarithromycin_increases_auc_triazolam	increase_auc	http://purl.obolibrary.org/obo/CHEBI_3732	http://purl.obolibrary.org/obo/CHEBI_9674	clarithromycin increases the AUC of triazolam 	http://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/clarithromycin_increases_auc_triazolam.html	DIKB	"06/05/2007 13:57:26
"	boycer	https://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/Evidence/60	5.255	support	TRIAZOLAM	CLARITHROMYCIN	5.255	high	http://www.ncbi.nlm.nih.gov/pubmed/9757151	http://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/DIKB_evidence_ontology_v1.3.owl#EV_PK_DDI_RCT	"Route of administration: oral

polymorphic enzyme: NO

study duration: 1 day petreatment with clarithromycin, single dose of triazolam

population: 6 male, 6 female

ages:21-39 

AUC_i/AUC: 28.9/5.5ng/Ml*h

In a randomized, double-blind, 5-trial clinical pharmacokinetic-pharmacodynamic study, 12 volunteers received 0.125 mg triazolam orally, together with placebo, azithromycin, erythromycin, or clarithromycin....The effects of triazolam on dynamic measures were nearly identical when triazolam was given with placebo or azithromycin, but benzodiazepine agonist effects were enhanced during erythromycin and clarithromycin trials."	0.000125	0.5	12
https://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/Assertions/91	fluvoxamine_increases_auc_tolbutamide	increase_auc	http://purl.obolibrary.org/obo/CHEBI_5138	http://purl.obolibrary.org/obo/CHEBI_27999	fluvoxamine increases the AUC of tolbutamide 	http://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/fluvoxamine_increases_auc_tolbutamide.html	DIKB	"09/22/2010 12:59:40
"	boycer	https://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/Evidence/114	1.5	support	TOLBUTAMIDE	FLUVOXAMINE	1.5	medium	http://www.ncbi.nlm.nih.gov/pubmed/11180037	http://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/DIKB_evidence_ontology_v1.3.owl#EV_PK_DDI_RCT	"NOTE: The AUC_i/AUC value is for the group that took 150mg of fluvoxamine and is calculated from Table I.

route of administration: oral

study duration: 5 days

population: 14 healthy volunteers, all male

tested for known CYP450 polymorphisms?
NO

ages: 21-30

description:
SUBJECTS: The study was carried out as an open, randomized, crossover design. The participants were 14 volunteers; all of the participants were men with a median age of 26 years (range, 21 to 30 years). The subjects had no known heart, liver, or kidney disease according to a clinical examination, clinical chemical and hematologic screening, and electrocardiogram. No participants consumed alcohol or drugs on a regular basis at the time of the study. The volunteers consented to participate in the study on the basis of oral and written information.

METHODS: The study was divided into two periods. In period A, all volunteers took 500 mg of tolbutamide (Tolbutamide “DAK”, Nycomed Denmark, Roskilde, Denmark) as a single oral dose. In period B, the volunteers were randomly assigned to two fluvoxamine groups. One group took 150 mg/d of fluvoxamine (Fevarin 100-mg tablets, Solvay Duphar BV, Weesp, The
Netherlands) for 5 days with a single oral dose of 500 mg of tolbutamide. The other group took a dose of 75 mg of fluvoxamine for 5 days and a single oral dose of 500 mg of tolbutamide. Period A and period B were separated by at least 1 week. Fluvoxamine was given at 20.00 hours.

RESULTS: Total tolbutamide (TB) clearance (CL_TB) was calculated as follows: CL_TB = Dose/AUC in which AUC is the area under the plasma concentration-time curve calculated by means of the trapezoidal rule with extrapolation from the last measurable concentration to infinity. Complete absorption of tolbutamide from the intestine was assumed.

The mean plasma concentration of tolbutamide versus time after a single oral dose of 500 mg of tolbutamide before (period A) and during (period B) concomitant intake of 150 mg/d or 75 mg/d of fluvoxamine is shown in Fig 2. The results of the pharmacokinetic analysis are listed in Table I. Thus the median values of the total clearance of tolbutamide were 845 and 962 mL/h in the group that received 75 mg and the group that received 150 mg, respectively, before the administration of fluvoxamine. During fluvoxamine intake, the clearance values decreased to 688 and 642 mL/h, respectively, and the decrease was statistically significant both in the group that received 75 mg and in the entire group (75 mg and 150 mg) but not in the group that received 150 mg alone. The picture was even more clear for the hydroxylation clearance, for which there was a statistically significant reduction as judged from 95% confidence intervals for the median difference not comprising zero both in the 75-mg and 150-mg fluvoxamine groups. There was a tendency toward a more marked reduction in the latter group, although the difference between the two groups (150 mg versus 75 mg in period B) did not reach a level of statistical significance (Table I).

See Table I and the equation CL_TB = Dose/AUC for more information. The AUC_i/AUC for the 150mg dose was 1.50 and for the 75mg dose was 1.22."	0.5	0.15	14
https://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/Assertions/103	clarithromycin_increases_auc_atorvastatin	increase_auc	http://purl.obolibrary.org/obo/CHEBI_3732	http://purl.obolibrary.org/obo/CHEBI_2910	clarithromycin increases the AUC of atorvastatin 	http://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/clarithromycin_increases_auc_atorvastatin.html	DIKB	"06/05/2007 08:47:56
"	boycer	https://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/Evidence/129	1.819	support	ATORVASTATIN	CLARITHROMYCIN	5.381	high	http://www.ncbi.nlm.nih.gov/pubmed/11936570	http://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/DIKB_evidence_ontology_v1.3.owl#EV_PK_DDI_RCT	"
Route of administration: oral

study duration: 5 days pre-treatment with atorvastatin then 3 days atorvastatin and clarithromycin

population: 36 from which 12 were randomly chosen to receive clarithromycin, 12 to receive azithromycin, and 12 to receive placebo the study 

male: 16 or 17 female: 19 or 20 (data appears incorrect in paper)

ages: 24-33

AUC_i/AUC: 151.5/83.3ng/h/ml

This study investigated the potential for azithromycin and clarithromycin to inhibit the metabolism of atorvastatin. Although there was no interaction between azithromycin and atorvastatin, clarithromycin did have a significant effect on atorvastatin pharmacokinetic parameters. When coadministered, clarithromycin raised subject exposure (AUC24) by 82% and peak plasma concentrations by 56%. These data suggest that while azithromycin appears to be safe to coadminister with atorvastatin, clarithromycin should be avoided in patients taking this and similarly metabolized HMG-CoA inhibitors."	0.01	0.5	36
https://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/Assertions/103	clarithromycin_increases_auc_atorvastatin	increase_auc	http://purl.obolibrary.org/obo/CHEBI_3732	http://purl.obolibrary.org/obo/CHEBI_2910	clarithromycin increases the AUC of atorvastatin 	http://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/clarithromycin_increases_auc_atorvastatin.html	DIKB	"06/05/2007 09:07:04
"	boycer	https://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/Evidence/130	5.381	support	ATORVASTATIN	CLARITHROMYCIN	5.381	high	http://www.ncbi.nlm.nih.gov/pubmed/15518608	http://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/DIKB_evidence_ontology_v1.3.owl#EV_PK_DDI_RCT	"oute of administration: oral

polymorphic enzyme: NO

study duration: 7 days atorvastatin only, 8 days atorvastatin and clarithromycin

dose: .050g atorvastatin1xday
.5g clarithromycin 2xday

population: 45 men and women (only 15 received atorvastatin)

ages:18-60

(mean AUC_i)/(mean AUC) = 113/21

description:
Clarithromycin significantly (p <0.001) increased the AUC (and C(max)) of all 3 statins, most markedly simvastatin ( approximately 10-fold increase in AUC) and simvastatin acid (12-fold), followed by atorvastatin (greater than fourfold) and then pravastatin (almost twofold)."	0.08	0.5	15
https://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/Assertions/110	nefazodone_increases_auc_alprazolam	increase_auc	http://purl.obolibrary.org/obo/CHEBI_7494	http://purl.obolibrary.org/obo/CHEBI_2611	nefazodone increases the AUC of alprazolam 	http://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/nefazodone_increases_auc_alprazolam.html	DIKB	"11/13/2007 08:46:01
"	boycer	https://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/Evidence/138	1.987	support	ALPRAZOLAM	NEFAZODONE	2.0	high	http://www.ncbi.nlm.nih.gov/pubmed/8748428	http://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/DIKB_evidence_ontology_v1.3.owl#EV_PK_DDI_RCT	"
Route of administration: oral

study duration: read description below

population: 48 male volunteers

ages: mean(std dev): 26(6.7)

Day 7 Alprazolam AUC_i/AUC (0-inf): 1.987
Day 7 4-OH-Alprazolam AUC_i/AUC (0-inf): .71 

Description:
This study was conducted to determine the potential for an interaction between nefazodone, a new antidepressant, and alprazolam after single- and multiple-dose administration in a randomized, double-blind, parallel-group, placebo-controlled study in 48 healthy male volunteers. A group of 12 subjects received either placebo twice daily, 1 mg of alprazolam twice daily, 200 mg of nefazodone twice daily, or the combination of 1 mg of alprazolam and 200 mg of nefazodone twice daily for 7 days. Serial blood samples were collected after dosing on day 1 and day 7 and before the morning dose on days 4, 5, and 6 for the determination of alprazolam and its metabolites alpha-hydroxyalprazolam (AOH) and 4-hydroxyalprazolam (4OH) and nefazodone and its metabolites hydroxynefazodone (HO-nefazodone), m-chlorophenylpiperazine (mCPP), and a triazole dione metabolite (dione) by validated high-performance liquid chromatography methods. Steady-state levels in plasma were reached by day 4 for alprazolam, 4OH, nefazodone, HO-nefazodone, mCPP, and dione. Noncompartmental pharmacokinetic analysis showed that at steady state, alprazolam Cmax and AUCtau values significantly increased approximately twofold and 4OH Cmax and AUCtau values significantly decreased by 40 and 26%, respectively, when nefazodone was coadministered with alprazolam. There was no effect of alprazolam on the single-dose or steady-state pharmacokinetics of nefazodone, HO-nefazodone, or dione after the coadministration of alprazolam and nefazodone.
"	0.001	0.2	48
https://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/Assertions/110	nefazodone_increases_auc_alprazolam	increase_auc	http://purl.obolibrary.org/obo/CHEBI_7494	http://purl.obolibrary.org/obo/CHEBI_2611	nefazodone increases the AUC of alprazolam 	http://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/nefazodone_increases_auc_alprazolam.html	DIKB	"11/13/2007 08:58:59
"	boycer	https://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/Evidence/139	1.47	support	ALPRAZOLAM	NEFAZODONE	2.0	high	http://www.ncbi.nlm.nih.gov/pubmed/14709940	http://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/DIKB_evidence_ontology_v1.3.owl#EV_PK_DDI_NR	"
Route of administration: oral

study duration: open label cross-over study involving three other antidepressants with at least a 7 day washout period between study arms. In the nefazodone arm, participants received 200mg bid for 3 days then 400mg bid for 5 days.  Participants received 2mg of alprazolam on day 1 and the last day of nefazodone treatment.

population: 16 male
ages: 24-40

AUC_i/AUC (0-inf): 1.47 

"	0.002	0.4	16
https://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/Assertions/129	fluconazole_increases_auc_triazolam	increase_auc	http://purl.obolibrary.org/obo/CHEBI_46081	http://purl.obolibrary.org/obo/CHEBI_9674	fluconazole increases the AUC of triazolam 	http://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/fluconazole_increases_auc_triazolam.html	DIKB	"10/30/2007 06:43:43
"	boycer	https://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/Evidence/162	2.46	support	TRIAZOLAM	FLUCONAZOLE	2.46	high	http://www.ncbi.nlm.nih.gov/pubmed/8730978	http://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/DIKB_evidence_ontology_v1.3.owl#EV_PK_DDI_RCT	"
Route of administration: oral

study duration: 4 days pretreatment with oral fluconazole 100mg; on day 4 a single oral dose of .25mg triazolam

population: 12
male: 2
female: 10 (8 used oral contraceptives)

ages: 19-31 

AUC_i/AUC (0 to infinity): 30 / 12.2 = 2.46"	0.00025	0.1	12
https://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/Assertions/138	lansoprazole_increases_auc_lansoprazole	increase_auc	http://purl.obolibrary.org/obo/CHEBI_6375	http://purl.obolibrary.org/obo/CHEBI_6375	lansoprazole increases the AUC of lansoprazole 	http://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/lansoprazole_increases_auc_lansoprazole.html	DIKB	"08/23/2010 13:06:43
"	boycer	https://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/Evidence/174	1.71	support	LANSOPRAZOLE	LANSOPRAZOLE	1.71	medium	http://www.ncbi.nlm.nih.gov/pubmed/16778714	http://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/DIKB_evidence_ontology_v1.3.owl#EV_PK_DDI_RCT	"NOTE: The AUC_i/AUC is from the heterozygous EMs and calculated from Table 1.

route of administration: oral

study duration: 6 days

population: 18 healthy volunteers (9 male, 9 female), all Japanese

tested for known CYP450 polymorphisms?
Yes -- CYP2C19 genotypes - 6 homozygous EMs, 6 heterozygous EMs, 6 homozygous PMs

ages: mean 25.1 years (+/- 3.8)

description:
Eighteen healthy Japanese volunteers (9 men and 9 women) who were H. pylori-negative were enrolled in this study. Their mean age was 25.1 +/- 3.8 years and mean body weight was 56.6 +/- 13.3 kg. Most subjects in this study had participated in our previous studies. The mutated alleles for CYP2C19, CYP2C19*3(*3), and CYP2C19*2(*2) had been identified using polymerase chain reaction-restriction fragment length polymorphism methods of De Morais et al, before this study. The CYP2C19 genotype analyses revealed 5 different patterns as follows: *1/*1 in 6, *1/*2 in 3, *1/*3 in 3, *2/*2 in 5, and *2/*3 in 1. These were divided into 3 groups, homozygous EMs (*1/*1, n=6), heterozygous EMs (*1/*2 and *1/*3, n=6), and PMs (*2/*2 and *2/*3, n=6).
METHODS: A randomized double-blind placebo-controlled crossover study design in 3 phases was conducted at intervals of 2 weeks. Clarithromycin (400 mg) as a capsule containing the equivalent of 2 tablets, fluvoxamine (25 mg) as a capsule containing the equivalent of a tablet, or matched placebo was given orally twice a
day (9 AM, 9 PM) for 6 days. Six volunteers within each group were allocated to each of the 3 different drug sequences: placebo-clarithromycin-fluvoxamine, fluvoxamine-placebo-clarithromycin, or clarithromycin-fluvoxamine-placebo. On day 6, they took a single oral 60-mg dose of lansoprazole with 400 mg dose of clarithromycin, 25mg dose of fluvoxamine, or placebo after overnight fasting (9 AM). No other medications were taken during the study periods. No meal was allowed until 4 hours after the dosing (1 PM). The use of alcohol, tea, coffee, and cola was forbidden during the test days.
RESULTS: Clarithromycin treatment significantly increased Cmax and AUC_0-24 of lansoprazole in heterozygous EMs (P&lt;0.05) and in PMs (P&lt;0.01), and prolonged elimination half-life by 1.6-fold (P&lt;0.05) in PMs. Calculated from Table 1, the AUC_i/AUC were: 1.62 (homozygous EMs), 1.71 (heterozygous EMs [p&lt;0.05]), and 1.89 (PMs [p&lt;0.01])."	0.06	0.8	18
https://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/Assertions/147	paroxetine_increases_auc_risperidone	increase_auc	http://purl.obolibrary.org/obo/CHEBI_7936	http://purl.obolibrary.org/obo/CHEBI_8871	paroxetine increases the AUC of risperidone 	http://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/paroxetine_increases_auc_risperidone.html	DIKB															
https://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/Assertions/295	itraconazole_increases_auc_lovastatin	increase_auc	http://purl.obolibrary.org/obo/CHEBI_6076	http://purl.obolibrary.org/obo/CHEBI_40303	itraconazole increases the AUC of lovastatin 	http://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/itraconazole_increases_auc_lovastatin.html	DIKB	"10/29/2007 12:20:41
"	boycer	https://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/Evidence/357	14.8	support	LOVASTATIN	ITRACONAZOLE	14.8	high	http://www.ncbi.nlm.nih.gov/pubmed/9690949	http://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/DIKB_evidence_ontology_v1.3.owl#EV_PK_DDI_RCT	"

Route of administration: oral

study duration: 4 dys pre-treatment with 100mg oral itraconazole or placebo; on day 4 a single 40mg dose of oral lovastatin was given

population: 10 
male: 8
female: 2

ages: 19-24

AUC_i/AUC (total): 222 / 15 = 14.8
NOTE: placebo AUC could not be accurately measured but was known to be lower than 15ng/ml*h
"	0.04	0.1	10
https://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/Assertions/303	fluoxetine_increases_auc_alprazolam	increase_auc	http://purl.obolibrary.org/obo/CHEBI_5118	http://purl.obolibrary.org/obo/CHEBI_2611	fluoxetine increases the AUC of alprazolam 	http://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/fluoxetine_increases_auc_alprazolam.html	DIKB	"09/22/2010 15:33:48
"	boycer	https://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/Evidence/367	1.318	support	ALPRAZOLAM	FLUOXETINE	1.318	medium	http://www.ncbi.nlm.nih.gov/pubmed/12920410	http://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/DIKB_evidence_ontology_v1.3.owl#EV_PK_DDI_RCT	"
route of administration: oral

study duration: at least 27 days

population: 11 subjects

tested for known CYP450 polymorphisms?
NO

ages: none given

description:
SUBJECTS: 11 subjects received fluoxetine treatment (n = 4 placebo first, n = 7 alprazolam first).

